Name	Phone	Site	Adresse	Activité
 Transports Julien 	04 70 58 29 65 , 09 77 62 26 14 , 04 70 58 29 45 	 www.transports-julien.com ,  transportsjulien.site-solocal.com 	 zi Coquet, 03260 SAINT GERMAIN DES FOSSÉS	 location de camions, de véhicules industriels 
 Garage Allier Poids Lourds 	 04 70 35 41 41 		 20 r Nicolas Rambourg, 03400 YZEURE	 garages poids lourds 
 Renault Trucks - Faurie Moulins - GROUPE FAURIE 	 04 70 44 42 55 	 https://www.facebook.com/clovislocation/ ,  www.clovislocation.com/fr/agence/moulins_age205_04dd.htm ,  www.renault-trucks.net 	 Zac Avermes Cap Nord Rd 707 rte Paris, 03000 AVERMES	 garages poids lourds,  location de camions, de véhicules industriels 
 Volvo Trucks Relais Poids Lourds Auvergne Concessionnaire 	04 15 82 00 20 		 zone artisanale le larry, 03400 TOULON SUR ALLIER	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Garage Poids Lourds Estivareilles 	04 70 06 00 28 		 4 r Paris, 03190 ESTIVAREILLES	 garages poids lourds 
 Garage Déchet SARL 	 04 70 45 77 77 		 24 rte Batelliere, 03500 PARAY SOUS BRIAILLES	 garages poids lourds 
 Laurent Père et Fils SAS 	 04 70 34 07 84 	 magasin.laurent-automobile.fr/771779-laurent-automobile-moulins ,  www.laurent-automobile.fr 	 109 rte Lyon, 03000 MOULINS	 garages poids lourds 
 Désormière Frères 	 04 70 99 19 68 		 68 av 8 Mai 1945, 03120 LAPALISSE	 garages poids lourds 
 Man Sbvs 	 04 70 44 66 15 		 Zone Industrielle 12 Rancy, 03400 YZEURE	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Garage Poids Lourds Estivareilles 	04 70 06 00 28 		 4 r Paris, 03190 ESTIVAREILLES	 garages poids lourds 
 Renault Trucks - Faurie Vichy - GROUPE FAURIE 	 04 70 58 40 40 	 www.facebook.com/clovislocation ,  www.clovislocation.com/fr/agence/vichy_age139_ac19.htm ,  www.clovislocation.com 	 zac Ancises, 03300 CREUZIER LE NEUF	 garages poids lourds,  location de camions, de véhicules industriels 
 Petit Forestier Location 	 04 70 51 97 96 	 www.facebook.com/PetitForestier ,  www.petitforestier.com ,  www.petitforestier.com/fr/fr_fr 	 Zone Industrielle De Montmarault rte Moulins, 03390 MONTMARAULT	 location de camions, de véhicules industriels 
 Relais Poids Lourds Auvergne 	 04 15 82 00 20 		 za Larry, 03400 TOULON SUR ALLIER	 construction, importation de véhicules industriels 
 Allo Louez-Moi 	04 70 99 17 22 		 50 av du 8 Mai 1945, 03120 LAPALISSE	 location de camions, de véhicules industriels 
 Sevi 63 	 04 70 31 14 48 		 21 r Romainville, 03300 CUSSET	 garages poids lourds 
 SEVI 03 	 04 70 31 14 48 		 21 Bis r Romainville, 03300 CUSSET	 garages poids lourds 
 Travaux Publics Coulon TPC 	06 71 04 26 95 		 14 Bis r Grand Champ, 03110 SAINT RÉMY EN ROLLAT	 location de camions, de véhicules industriels 
 Clovis Location Moulins 	 04 70 44 42 55 		 rte Nationale 7, 03000 AVERMES	 location de camions, de véhicules industriels 
